cluster,gene
Basel_Stem_Cells,PAK1IP1
Basel_Stem_Cells,C6orf141
Basel_Stem_Cells,ITM2A
Basel_Stem_Cells,ATRX
Basel_Stem_Cells,TACC1
Basel_Stem_Cells,CREBRF
Basel_Stem_Cells,UBALD1
Basel_Stem_Cells,LINC00478
Basel_Stem_Cells,DCAF13
Basel_Stem_Cells,TIMM8A
Basel_Stem_Cells,WLS
Basel_Stem_Cells,NIP7
Basel_Stem_Cells,SOX4
Basel_Stem_Cells,NUDT4
Basel_Stem_Cells,ISOC1
Basel_Stem_Cells,PTRH2
Basel_Stem_Cells,TXLNG
Basel_Stem_Cells,FST
Basel_Stem_Cells,ARL4C
Basel_Stem_Cells,FBLIM1
Basel_Stem_Cells,FBXW7
Basel_Stem_Cells,MIR22HG
Basel_Stem_Cells,GLIPR1
Basel_Stem_Cells,CITED2
Basel_Stem_Cells,PLAU
